end_station_name,year,number_of_rides
Ashland Ave & Archer Ave,2019,524
Dorchester Ave & 63rd St,2019,500
Ridge Blvd & Howard St,2019,491
Wood St & 35th St,2019,467
Evanston Civic Center,2019,461
Princeton Ave & Garfield Blvd,2019,459
Oakley Ave & Touhy Ave,2019,450
Cottage Grove Ave & 63rd St,2019,447
Halsted St & 35th St (*),2019,447
Washtenaw Ave & Ogden Ave (*),2019,442
Austin Blvd & Lake St,2019,437
Archer (Damen) Ave & 37th St,2019,434
Clark St & Touhy Ave,2019,426
Ashland Ave & Pershing Rd,2019,414
Kildare Ave & Montrose Ave,2019,410
Maplewood Ave & Peterson Ave,2019,410
Dodge Ave & Mulford St,2019,406
MLK Jr Dr & 47th St,2019,397
Kedzie Ave & 21st St,2019,381
Fairfield Ave & Roosevelt Rd,2019,369
Union Ave & Root St,2019,359
Indiana Ave & 40th St,2019,353
Jeffery Blvd & 67th St,2019,322
South Shore Dr & 74th St,2019,307
Hoyne Ave & 47th St,2019,286
Damen Ave & Coulter St,2019,282
Racine Ave & Garfield Blvd,2019,280
Halsted St & 47th Pl,2019,254
Western Ave & 28th St,2019,251
Kedzie Ave & Roosevelt Rd,2019,245
Princeton Ave & 47th St,2019,244
Wolcott Ave & Fargo Ave,2019,241
Jeffery Blvd & 71st St,2019,234
Millard Ave & 26th St,2019,230
Stony Island Ave & 64th St,2019,229
Albany Ave & 26th St,2019,223
Cornell Dr & Hayes Dr,2019,219
Stony Island Ave & 71st St,2019,216
Central Park Ave & Ogden Ave,2019,214
State St & Pershing Rd,2019,212
Stony Island Ave & 67th St,2019,202
Western Blvd & 48th Pl,2019,194
Eberhart Ave & 61st St,2019,192
Austin Blvd & Chicago Ave,2019,191
State St & 79th St,2019,191
Kedzie Ave & Harrison St,2019,190
Central Ave & Chicago Ave,2019,186
Archer (Damen) Ave & 37th St (*),2019,183
Damen Ave & Pershing Rd,2019,178
MLK Jr Dr & 83rd St,2019,168
Vernon Ave & 75th St,2019,158
HUBBARD ST BIKE CHECKING (LBS-WH-TEST),2019,157
Stony Island Ave & 75th St,2019,154
Halsted St & 63rd St,2019,152
Karlov Ave & Madison St,2019,152
Rainbow Beach,2019,147
California Ave & 26th St,2019,144
Cottage Grove Ave & 67th St,2019,141
Pulaski Rd & Congress Pkwy,2019,138
Austin Blvd & Madison St,2019,135
MLK Jr Dr & 63rd St,2019,132
Greenwood Ave & 79th St,2019,129
Wabash Ave & 87th St,2019,128
Central Ave & Madison St,2019,125
Laramie Ave & Madison St,2019,125
Yates Blvd & 75th St,2019,123
Jeffery Blvd & 76th St,2019,121
Ashland Ave & 50th St,2019,119
Kostner Ave & Adams St,2019,119
Perry Ave & 69th St,2019,117
Pulaski Rd & Lake St,2019,116
Morgan St & Pershing Rd,2019,115
Central Ave & Lake St,2019,113
Wentworth Ave & 63rd St,2019,112
Ashland Ave & Garfield Blvd,2019,107
Kedzie Ave & 24th St,2019,106
Central Park Blvd & 5th Ave,2019,105
Marshfield Ave & 44th St,2019,104
Latrobe Ave & Chicago Ave,2019,103
Elizabeth St & 47th St,2019,102
Cottage Grove Ave & 83rd St,2019,101
MLK Jr Dr & 56th St,2019,101
Ashland Ave & 63rd St,2019,99
Cicero Ave & Lake St,2019,97
DIVVY Map Frame B/C Station,2019,94
Central Park Ave & 24th St,2019,89
Central Ave & Harrison St,2019,88
Evans Ave & 75th St,2019,84
Phillips Ave & 83rd St,2019,82
State St & 54th St,2019,78
Halsted St & 69th St,2019,76
Laramie Ave & Kinzie St,2019,71
Commercial Ave & 83rd St,2019,70
MLK Jr Dr & 56th St (*),2019,70
Ashland Ave & 69th St,2019,68
Halsted St & 56th St,2019,68
Damen Ave & 51st St,2019,64
Cicero Ave & Quincy St,2019,61
Phillips Ave & 79th St,2019,61
Shields Ave & 43rd St,2019,61
Stony Island Ave & 82nd St,2019,60
Exchange Ave & 79th St,2019,58
Ellis Ave & 83rd St,2019,56
Vernon Ave & 79th St,2019,55
Cottage Grove Ave & 78th St,2019,54
Laramie Ave & Gladys Ave,2019,53
Bennett Ave & 79th St,2019,51
Ashland Ave & 66th St,2019,50
Stewart Ave & 63rd St (*),2019,49
Eggleston Ave & 69th St (*),2019,46
Cottage Grove Ave & 71st St,2019,41
Throop St & 52nd St,2019,41
Woodlawn Ave & 75th St,2019,41
Damen Ave & 59th St,2019,40
State St & 76th St,2019,39
Kenton Ave & Madison St,2019,37
Calumet Ave & 71st St,2019,36
Marshfield Ave & 59th St,2019,36
South Chicago Ave & 83rd St,2019,34
Wabash Ave & 83rd St,2019,31
Halsted St & 51st St,2019,30
Halsted St & 59th St,2019,30
Stony Island Ave & South Chicago Ave,2019,29
May St & 69th St,2019,26
Seeley Ave & Garfield Blvd,2019,25
Vincennes Ave & 75th St,2019,24
Cicero Ave & Flournoy St,2019,23
Carpenter St & 63rd St,2019,22
Rhodes Ave & 71st St,2019,21
Kostner Ave & Lake St,2019,17
Michigan Ave & 71st St,2019,16
Racine Ave & 65th St,2019,16
Elizabeth St & 59th St,2019,12
South Chicago Ave & Elliot Ave,2019,10
Racine Ave & 61st St,2019,8
DIVVY CASSETTE REPAIR MOBILE STATION,2019,5
TS ~ DIVVY PARTS TESTING,2019,2
LBS - BBB La Magie,2019,1
Special Events,2019,1
Streeter Dr & Grand Ave,2020,37661
Clark St & Elm St,2020,31763
Theater on the Lake,2020,30920
Lake Shore Dr & Monroe St,2020,28265
Lake Shore Dr & North Blvd,2020,27009
Millennium Park,2020,25540
Wells St & Concord Ln,2020,25209
Dearborn St & Erie St,2020,24545
Broadway & Barry Ave,2020,24433
St. Clair St & Erie St,2020,24220
Indiana Ave & Roosevelt Rd,2020,23959
Wabash Ave & Roosevelt Rd,2020,23111
Wabash Ave & Grand Ave,2020,22629
Michigan Ave & Oak St,2020,22100
Clark St & Armitage Ave,2020,22022
Clark St & Lincoln Ave,2020,21806
Kingsbury St & Kinzie St,2020,21636
Wells St & Huron St,2020,21457
Lake Shore Dr & Wellington Ave,2020,21449
Wells St & Elm St,2020,20883
Michigan Ave & Lake St,2020,20583
Larrabee St & Webster Ave,2020,20561
Fairbanks Ct & Grand Ave,2020,19559
Desplaines St & Kinzie St,2020,19533
Michigan Ave & Washington St,2020,19319
Dearborn Pkwy & Delaware Pl,2020,19316
Lake Shore Dr & Belmont Ave,2020,18726
Wilton Ave & Belmont Ave,2020,18500
Lakeview Ave & Fullerton Pkwy,2020,18465
Wells St & Evergreen Ave,2020,18436
Clinton St & Madison St,2020,18138
Lake Shore Dr & Diversey Pkwy,2020,17730
Broadway & Cornelia Ave,2020,17703
Clark St & Drummond Pl,2020,17514
Green St & Madison St,2020,17267
Columbus Dr & Randolph St,2020,17238
Ashland Ave & Division St,2020,17107
Clark St & Wrightwood Ave,2020,17106
Pine Grove Ave & Waveland Ave,2020,16979
Lincoln Ave & Fullerton Ave,2020,16562
Wells St & Hubbard St,2020,16337
Damen Ave & Pierce Ave,2020,16272
Stockton Dr & Wrightwood Ave,2020,16168
Lakefront Trail & Bryn Mawr Ave,2020,15992
Broadway & Waveland Ave,2020,15953
Halsted St & Roscoe St,2020,15906
Clark St & Schiller St,2020,15869
Clark St & Wellington Ave,2020,15860
Kingsbury St & Erie St,2020,15850
Bissell St & Armitage Ave,2020,15794
State St & Kinzie St,2020,15724
McClurg Ct & Illinois St,2020,15206
Canal St & Adams St,2020,15061
LaSalle St & Illinois St,2020,15046
McClurg Ct & Erie St,2020,14994
Rush St & Cedar St,2020,14907
Wabash Ave & 9th St,2020,14804
Morgan St & Lake St,2020,14526
Southport Ave & Roscoe St,2020,14437
Sheffield Ave & Wellington Ave,2020,14365
